时间,直调负荷(MW),联络线受电负荷(MW),风电总加(MW),光伏总加(MW),地方电厂发电总加(MW),非市场化核电总加(MW),自备机组总加(MW),试验机组总加(MW),抽蓄(MW)
2023-10-02 10:30:00+08,45058.285,15707.62,516.93,7676.18,6896.96,1312.757,3772.056,0,-1780.4
2023-10-02 10:45:00+08,44259.875,15006.052,553.87,7579.83,6895.308,1311.92,3801.185,0,-2025.6
2023-10-02 11:00:00+08,43952.508,14571.427,565.07,8076.55,6894.344,1312.643,3756.769,0,-2025.1
2023-10-02 11:15:00+08,43866.199,13135.366,547.62,8294.22,6837.304,1312.035,3766.37,0,-2018.5
2023-10-02 11:30:00+08,42689.727,12633.171,597.51,8319.13,6840.438,1312.378,3765.131,0,-2016.9
2023-10-02 11:45:00+08,41565.297,12399.131,676.3,8238.99,6846.905,1310.932,3767.334,0,-2274.6
2023-10-02 12:00:00+08,40165.031,11981.927,822.51,8449.36,6845.656,1313.329,3766.97,0,-2269.4
2023-10-02 12:15:00+08,40532.535,12054.401,970.73,7907.0,6851.727,1310.627,3752.66,0,-2263.6
2023-10-02 12:30:00+08,40650.711,12086.296,1052.47,7628.25,6862.518,1310.894,3756.072,0,-2245.8
2023-10-02 12:45:00+08,41320.934,11825.117,1082.88,7894.04,6864.122,1310.742,3744.246,0,-2241.6
2023-10-02 13:00:00+08,42398.266,11766.658,1168.35,7677.16,6850.41,1311.084,3757.21,0,-2233.5
2023-10-02 13:15:00+08,44081.852,11699.82,1309.88,7126.54,6876.991,1310.932,3758.567,0,-1971.0
2023-10-02 13:30:00+08,45463.406,12164.032,1379.95,6778.38,6828.195,1305.947,3767.168,0,-1956.0
2023-10-02 13:45:00+08,46363.855,12906.248,1467.14,6640.51,6858.942,1307.317,3753.634,0,-1945.7
2023-10-02 14:00:00+08,47099.566,13539.495,1490.17,6526.17,6872.499,1307.126,3769.866,0,-1941.5
2023-10-02 14:15:00+08,47833.457,14551.939,1573.59,6099.05,6909.85,1305.491,3829.502,0,-1942.5
2023-10-02 14:30:00+08,48809.176,14636.323,1636.36,5554.32,6909.051,1306.975,3853.159,0,-1676.0
2023-10-02 14:45:00+08,49873.613,14349.445,1683.69,4991.59,6901.642,1304.921,3854.521,0,-1659.6
2023-10-02 15:00:00+08,50742.418,14263.18,1704.06,4538.36,6910.625,1307.47,3866.69,0,-1397.0
2023-10-02 15:15:00+08,51676.25,14657.968,1708.44,3987.12,6918.653,1306.176,3882.803,0,-1398.3
2023-10-02 15:30:00+08,52423.871,14418.779,1724.6,3112.49,6898.388,1306.709,3868.574,0,-1102.3
2023-10-02 15:45:00+08,53378.777,14405.518,1657.78,2664.9,6890.516,1301.762,3863.625,0,-1108.8
2023-10-02 16:00:00+08,53570.668,14267.346,1640.41,1961.19,6905.567,1300.848,3890.472,0,-993.3
2023-10-02 16:15:00+08,54586.449,14688.332,1625.24,1358.89,6881.731,1300.013,3903.806,0,-541.4
2023-10-02 16:30:00+08,55321.438,15323.681,1655.16,1145.08,6895.957,1301.039,3924.4,0,-537.4
2023-10-02 16:45:00+08,56533.063,15675.186,1684.94,761.55,6877.771,1301.915,3916.022,0,0.0
2023-10-02 17:00:00+08,57476.957,16151.927,1755.02,443.61,6919.018,1301.192,3930.371,0,366.4
2023-10-02 17:15:00+08,58113.547,16259.266,1929.26,220.16,6940.065,1301.154,3939.736,0,357.5
2023-10-02 17:30:00+08,58885.176,16106.521,2028.79,57.26,6939.646,1301.344,3939.611,0,695.1
2023-10-02 17:45:00+08,59475.676,16324.705,2116.99,-1.86,7034.176,1301.078,3935.758,0,689.4
2023-10-02 18:00:00+08,59869.063,16285.366,2061.55,-6.75,7063.17,1299.29,3944.821,0,687.2
2023-10-02 18:15:00+08,59988.281,16111.212,1995.67,-3.66,7058.316,1300.394,3950.809,0,874.4
2023-10-02 18:30:00+08,59659.395,16242.172,1913.92,-3.32,7050.712,1301.307,3936.364,0,867.6
2023-10-02 18:45:00+08,58812.027,16434.756,1895.98,-2.89,7091.867,1301.231,3893.912,0,867.7
2023-10-02 19:00:00+08,57872.84,16278.077,1942.67,-2.76,7080.786,1299.063,3893.729,0,866.6
2023-10-02 19:15:00+08,57408.664,16426.059,2058.42,-2.93,7080.882,1295.527,3925.665,0,866.7
2023-10-02 19:30:00+08,57063.293,16280.285,2082.57,-2.79,7083.479,1298.34,3973.857,0,867.5
2023-10-02 19:45:00+08,56921.246,16313.492,2139.55,-2.83,7066.514,1297.617,3971.678,0,863.5
2023-10-02 20:00:00+08,56560.043,16351.272,2108.92,-3.02,7091.215,1298.416,4003.028,0,863.3
2023-10-02 20:15:00+08,56611.57,15941.175,2123.17,-2.8,7083.14,1298.531,3962.752,0,868.0
2023-10-02 20:30:00+08,56176.785,15275.692,2073.21,-2.81,7087.117,1299.862,3914.109,0,867.6
2023-10-02 20:45:00+08,56090.555,14945.983,1972.9,-2.88,7116.293,1299.254,3951.865,0,868.6
2023-10-02 21:00:00+08,55686.492,14411.764,1920.75,-2.88,7077.802,1297.77,3970.9,0,1014.3
2023-10-02 21:15:00+08,56132.16,14541.188,1969.59,-2.86,7098.671,1297.58,3972.926,0,1013.4
2023-10-02 21:30:00+08,55654.445,14330.787,2148.07,-2.84,7118.805,1297.579,3980.252,0,1291.9
2023-10-02 21:45:00+08,54840.0,14386.92,2212.94,-3.03,7104.397,1297.352,3956.057,0,1289.8
2023-10-02 22:00:00+08,54056.605,14295.749,2384.28,-2.91,7130.841,1296.971,3904.801,0,1166.7
2023-10-02 22:15:00+08,53582.523,13739.681,2458.29,-2.88,7141.97,1297.808,3908.251,0,1169.8
2023-10-02 22:30:00+08,52909.613,12719.196,2527.43,-2.83,7105.399,1299.063,3923.256,0,1166.4
2023-10-02 22:45:00+08,52095.262,11447.357,2440.65,-2.92,7098.3,1298.645,3909.56,0,1170.7
2023-10-02 23:00:00+08,51048.176,10361.009,2473.99,-3.28,7076.904,1297.656,3914.37,0,1168.1
2023-10-02 23:15:00+08,50760.473,9562.571,2470.95,-3.02,7043.804,1296.934,3902.961,0,1166.9
2023-10-02 23:30:00+08,49975.586,9902.15,2560.42,-3.09,7024.316,1296.742,3911.353,0,814.8
2023-10-02 23:45:00+08,49543.133,9929.309,2598.43,-2.97,7043.986,1297.124,3906.995,0,721.6
2023-10-03 00:00:00+08,48946.258,9900.147,2509.93,-2.79,7013.744,1297.162,3915.322,0,486.5
2023-10-03 00:15:00+08,48615.863,9780.829,2280.76,-2.81,6994.315,1297.771,3908.595,0,303.2
2023-10-03 00:30:00+08,48377.93,9821.789,2079.35,-2.85,7011.337,1297.695,3943.104,0,302.6
2023-10-03 00:45:00+08,48137.691,9541.413,1901.67,-3.17,6989.95,1297.39,3943.682,0,150.7
2023-10-03 01:00:00+08,47850.094,9544.537,1828.93,-2.61,6987.045,1297.998,3964.618,0,0.0
2023-10-03 01:15:00+08,47750.488,9676.006,1661.84,-2.88,6987.6,1295.793,3959.194,0,0.0
2023-10-03 01:30:00+08,47778.57,9750.914,1567.39,-3.1,6993.12,1297.238,3958.418,0,-5.2
2023-10-03 01:45:00+08,47255.813,9363.574,1527.79,-2.76,7006.562,1296.325,3967.316,0,-308.0
2023-10-03 02:00:00+08,47192.961,9531.149,1451.07,-2.79,6996.402,1297.162,3973.843,0,-305.3
2023-10-03 02:15:00+08,47235.297,9639.924,1315.02,-2.57,6983.439,1296.135,3978.884,0,-306.9
2023-10-03 02:30:00+08,47070.809,9765.477,1260.11,-2.69,6992.309,1297.466,3965.285,0,-305.8
2023-10-03 02:45:00+08,46768.34,9698.251,1219.3,-2.58,6991.906,1296.439,3984.176,0,-306.3
2023-10-03 03:00:00+08,46798.281,9741.658,1078.87,-2.8,6966.78,1297.352,3965.51,0,-306.2
2023-10-03 03:15:00+08,46852.516,9647.527,1008.8,-3.12,6978.279,1296.858,3975.375,0,-306.0
2023-10-03 03:30:00+08,46900.516,9747.724,1005.71,-2.74,6986.842,1297.162,3971.73,0,-305.2
2023-10-03 03:45:00+08,46934.695,9591.351,961.92,-2.9,6995.716,1295.716,3980.415,0,-303.7
2023-10-03 04:00:00+08,46719.402,9695.466,953.91,-2.79,6992.947,1297.504,3976.492,0,-304.4
2023-10-03 04:15:00+08,47185.23,9553.253,897.98,-2.85,6981.038,1296.173,3982.653,0,-302.3
2023-10-03 04:30:00+08,47309.148,9721.091,852.47,-2.61,6995.484,1297.961,4000.1,0,-302.6
2023-10-03 04:45:00+08,47542.156,9651.007,796.51,-2.88,6997.026,1298.075,4005.87,0,-302.5
2023-10-03 05:00:00+08,48124.832,9737.81,692.13,-2.74,6956.548,1296.287,3992.37,0,-301.8
2023-10-03 05:15:00+08,48782.422,9191.8,638.79,-2.59,6934.809,1297.086,3992.014,0,0.0
2023-10-03 05:30:00+08,49266.676,10315.802,640.3,-2.85,7004.396,1298.608,3989.551,0,-5.3
2023-10-03 05:45:00+08,49832.969,10829.48,645.04,-2.73,7003.214,1294.918,3979.426,0,-5.0
2023-10-03 06:00:00+08,50406.012,11673.044,620.39,-2.84,6990.287,1298.418,3971.168,0,-5.2
2023-10-03 06:15:00+08,52033.586,12543.086,614.52,8.36,6982.155,1293.432,3990.888,0,0.0
2023-10-03 06:30:00+08,52505.977,12078.637,625.85,111.78,6969.137,1295.374,3989.787,0,0.0
2023-10-03 06:45:00+08,53404.59,12560.072,603.33,323.28,6962.82,1294.536,3989.38,0,0.0
2023-10-03 07:00:00+08,53167.453,12239.189,554.27,587.91,6981.608,1294.499,4010.836,0,0.0
2023-10-03 07:15:00+08,54008.098,13128.975,553.29,908.92,6967.503,1295.448,4004.628,0,0.0
2023-10-03 07:30:00+08,53715.336,13309.578,483.31,1235.48,6935.818,1296.515,4014.104,0,0.0
2023-10-03 07:45:00+08,53940.996,13916.292,414.18,1650.53,6951.658,1294.042,3977.061,0,0.0
2023-10-03 08:00:00+08,53474.238,14308.374,377.86,2075.32,6905.623,1295.488,3964.086,0,0.0
2023-10-03 08:15:00+08,53427.289,14854.159,357.52,2504.28,6919.89,1295.107,3959.112,0,0.0
2023-10-03 08:30:00+08,52532.813,15331.728,291.31,3110.7,6918.823,1294.803,3964.14,0,0.0
2023-10-03 08:45:00+08,51693.922,16254.055,224.24,3663.66,6910.863,1295.26,3975.168,0,0.0
2023-10-03 09:00:00+08,50558.168,16770.044,198.08,4236.57,6870.251,1294.232,3951.492,0,0.0
2023-10-03 09:15:00+08,49560.793,17140.721,218.9,4814.75,6886.915,1294.841,3936.193,0,0.0
2023-10-03 09:30:00+08,48423.883,17257.643,252.77,5842.89,6884.777,1293.699,3935.469,0,-573.6
2023-10-03 09:45:00+08,47562.859,16932.799,284.68,6456.89,6881.672,1294.993,3898.202,0,-576.9
2023-10-03 10:00:00+08,46818.594,16474.397,338.15,6996.56,6910.816,1294.65,3846.116,0,-872.2
2023-10-03 10:15:00+08,46851.117,16454.217,439.96,7365.37,6866.014,1295.108,3835.249,0,-867.5
2023-10-03 10:30:00+08,46537.594,15692.499,529.51,7908.4,6908.856,1295.793,3800.754,0,-865.0
2023-10-03 10:45:00+08,46155.637,15351.406,581.25,8149.48,6895.414,1297.124,3760.083,0,-860.5
2023-10-03 11:00:00+08,46411.879,14742.557,659.94,8410.93,6845.465,1297.2,3718.862,0,-859.8
2023-10-03 11:15:00+08,46603.43,13662.883,716.96,8567.15,6749.939,1295.488,3705.565,0,-864.9
2023-10-03 11:30:00+08,45667.18,13853.634,787.89,8430.73,6751.303,1295.793,3715.235,0,-862.6
2023-10-03 11:45:00+08,45104.566,14130.459,784.44,8466.23,6751.367,1296.63,3724.873,0,-864.3
2023-10-03 12:00:00+08,43799.711,14122.672,735.38,8308.25,6764.229,1295.908,3710.275,0,-1160.3
2023-10-03 12:15:00+08,43666.523,12020.077,709.88,8066.96,6762.781,1297.049,3702.299,0,-1416.9
